,Techniques,Rule
259,defense_evasion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_clear_logs.yml
260,T1146,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_clear_logs.yml
261,T1070.003,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_clear_logs.yml
262,discovery,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
263,T1083,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
264,T1201,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
265,T1057,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
266,T1018,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
267,T1082,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
268,T1016,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
269,T1049,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
270,T1033,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
271,T1124,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
272,credenTial_access,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
273,defense_evasion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
274,T1130,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
275,T1553.004,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
276,T1145,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
277,T1552.004,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
278,defense_evasion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
279,impacT,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
280,T1107,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
281,T1070.004,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
282,T1488,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
283,T1561.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
284,T1487,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
285,T1561.002,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
286,collecTion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
287,laTeral_movemenT,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
288,command_and_conTrol,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
289,exfilTraTion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
290,T1074,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
291,T1105,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
292,T1002,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
293,T1560.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
294,discovery,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
295,credenTial_access,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
296,collecTion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
297,T1087,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
298,T1087.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
299,T1003,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
300,T1081,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
301,T1552.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
302,T1005,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
303,persisTence,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
304,T1136,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
305,T1136.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
306,T1098,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
307,exfilTraTion,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
308,T1048,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
309,T1048.003,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
310,command_and_conTrol,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
311,T1071,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
312,T1071.004,Resources/sigma-master/rules/network/net_high_txt_records_requests_rate.yml
313,command_and_conTrol,Resources/sigma-master/rules/network/net_apt_equationgroup_c2.yml
314,g0020,Resources/sigma-master/rules/network/net_apt_equationgroup_c2.yml
315,command_and_conTrol,Resources/sigma-master/rules/network/net_mal_dns_cobaltstrike.yml
316,T1071,Resources/sigma-master/rules/network/net_mal_dns_cobaltstrike.yml
317,T1071.004,Resources/sigma-master/rules/network/net_mal_dns_cobaltstrike.yml
318,exfilTraTion,Resources/sigma-master/rules/network/net_high_dns_bytes_out.yml
319,T1048,Resources/sigma-master/rules/network/net_high_dns_bytes_out.yml
320,T1048.003,Resources/sigma-master/rules/network/net_high_dns_bytes_out.yml
321,laTeral_movemenT,Resources/sigma-master/rules/network/zeek/zeek_smb_converted_win_lm_namedpipe.yml
322,T1077,Resources/sigma-master/rules/network/zeek/zeek_smb_converted_win_lm_namedpipe.yml
323,T1021.002,Resources/sigma-master/rules/network/zeek/zeek_smb_converted_win_lm_namedpipe.yml
